 TOT   INH   IND
16.2    .3     -      Database.Bolt.Connection queryP' (0)
16.1    .2     -        Database.Bolt.Connection querySL (0)
 8.1     -     -          Database.Bolt.Connection pullKeys (0)
 8.1     -     -            Database.Bolt.Connection sendRequest (0)
 8.0    .2     -          Database.Bolt.Connection pullRecords (4134)
 7.8     -     -            Database.Bolt.Connection.Pipe fetch (4134)


  .5    .5    .5  Database.Bolt.Value.Instances topBS (24993)


 1.1    .4    .3  NEAT.Data showsPrec (20404)
  .7     -     -    Data.UUID.Types.Internal show (0)


  .4    .4    .4  Data.Vector basicUnsafeIndexM (653423)


11.2    .3    .2  Database.Bolt.Connection.Connection send (29877)
11.0    .1     -    Network.Connection connectionPut (34761)
10.9     -     -      Network.Connection withBackend (34761)


 1.0    .3    .2  System.Random randomR (0)
  .7     -     -    System.Random random (18746)


 1.1    .1     -  System.Random randomRIO (4073)
 1.1    .1     -    System.Random getStdRandom (4073)
 1.0     -     -      System.Random randomR (0)


  .9    .1     -  Random trigger (10607)
  .8     -     -    System.Random randomRIO (0)


 1.0    .1     -  NEAT.XOR fitness (2797)
 1.0    .1     -    NEAT.XOR fitness.predicions (2797)
 1.0    .1     -      NEAT.XOR fitness.predicions.\ (11188)
 1.0    .1     -        NEAT.Algo genomeValue (11188)
  .9     -     -          Util |> (90536)
